Диван (комбинированная отделка, кожа+кожзам)830*1920*830 1013625665394;410136092015001093;12.11.2015;12.11.2015;Особо ценное движимое имущество;16 3612441;51 300,00;Бюджет;50 689,29;1,19;1,19;84
Диван (комбинированная отделка, кожа+кожзам)830*1920*830 1013625665395;410136092015001094;12.11.2015;12.11.2015;Особо ценное движимое имущество;16 3612441;51 300,00;Бюджет;50 689,29;1,19;1,19;84
Диван (комбинированная отделка, кожа+кожзам)830*1920*830 1013625665396;410136092015001095;12.11.2015;12.11.2015;Особо ценное движимое имущество;16 3612441;51 300,00;Бюджет;50 689,29;1,19;1,19;84
Диван (комбинированная отделка, кожа+кожзам)830*1920*830 1013625665397;410136092015001096;12.11.2015;12.11.2015;Особо ценное движимое имущество;16 3612441;51 300,00;Бюджет;50 689,29;1,19;1,19;84
Диван (комбинированная отделка, кожа+кожзам)830*1920*830 1013625665399;410136092015001097;12.11.2015;12.11.2015;Особо ценное движимое имущество;16 3612441;51 300,00;Бюджет;50 689,29;1,19;1,19;84
Диван (комбинированная отделка, кожа+кожзам)830*1920*830 1013625665401;410136092015001098;12.11.2015;12.11.2015;Особо ценное движимое имущество;16 3612441;51 300,00;Бюджет;50 689,29;1,19;1,19;84
Диван (комбинированная отделка, кожа+кожзам)830*1920*830 1013625666468;410136092015001084;12.11.2015;12.11.2015;Особо ценное движимое имущество;16 3612441;51 300,00;Бюджет;50 689,29;1,19;1,19;84
Диван (светлая кожа) 900*2040*930 1013625666360;410136112015000063;12.11.2015;12.11.2015;Особо ценное движимое имущество;16 3612441;131 120,00;Бюджет;129 559,05;1,19;1,19;84
Диван (светлая кожа) 900*2040*930 1013625666363;410136112015000064;12.11.2015;12.11.2015;Особо ценное движимое имущество;16 3612441;131 120,00;Бюджет;129 559,05;1,19;1,19;84
Диван (светлая кожа) 900*2040*930 1013625666365;410136112015000065;12.11.2015;12.11.2015;Особо ценное движимое имущество;16 3612441;131 120,00;Бюджет;129 559,05;1,19;1,19;84
Диван (светлая кожа) 900*2040*930 1013625666366;410136112015000066;12.11.2015;12.11.2015;Особо ценное движимое имущество;16 3612441;131 120,00;Бюджет;129 559,05;1,19;1,19;84
